userid,dt,campaign_id
1,2013-01-01,RE
2,2013-01-01,PI
3,2013-01-01,FB
4,2013-01-01,FB
5,2013-01-01,FB
6,2013-01-01,FB
7,2013-01-01,PI
8,2013-01-01,FB
9,2013-01-01,FB
10,2013-01-01,TW
11,2013-01-01,RE
12,2013-01-01,FB
13,2013-01-01,TW
14,2013-01-01,TW
15,2013-01-01,RE
16,2013-01-01,TW
17,2013-01-01,FB
18,2013-01-01,TW
19,2013-01-01,FB
20,2013-01-01,RE
21,2013-01-01,RE
22,2013-01-01,RE
23,2013-01-01,TW
24,2013-01-01,FB
25,2013-01-01,FB
26,2013-01-01,TW
27,2013-01-01,FB
28,2013-01-01,TW
29,2013-01-01,TW
30,2013-01-01,TW
31,2013-01-02,RE
32,2013-01-02,RE
33,2013-01-02,FB
34,2013-01-02,RE
35,2013-01-02,RE
36,2013-01-02,TW
37,2013-01-02,RE
38,2013-01-02,TW
39,2013-01-02,TW
40,2013-01-02,FB
41,2013-01-02,FB
42,2013-01-02,TW
43,2013-01-02,TW
44,2013-01-03,FB
45,2013-01-03,PI
46,2013-01-03,FB
47,2013-01-03,TW
48,2013-01-03,FB
49,2013-01-03,FB
50,2013-01-03,FB
51,2013-01-03,FB
52,2013-01-03,TW
53,2013-01-03,FB
54,2013-01-03,RE
55,2013-01-03,RE
56,2013-01-03,TW
57,2013-01-03,FB
58,2013-01-03,TW
59,2013-01-03,FB
60,2013-01-03,RE
61,2013-01-03,FB
62,2013-01-03,TW
63,2013-01-03,TW
64,2013-01-03,FB
65,2013-01-03,TW
66,2013-01-04,FB
67,2013-01-04,RE
68,2013-01-04,FB
69,2013-01-04,FB
70,2013-01-04,PI
71,2013-01-04,PI
72,2013-01-04,TW
73,2013-01-04,PI
74,2013-01-04,FB
75,2013-01-04,RE
76,2013-01-04,PI
77,2013-01-04,TW
78,2013-01-04,TW
79,2013-01-04,FB
80,2013-01-04,TW
81,2013-01-04,FB
82,2013-01-04,FB
83,2013-01-04,FB
84,2013-01-04,FB
85,2013-01-05,TW
86,2013-01-05,TW
87,2013-01-05,RE
88,2013-01-05,RE
89,2013-01-05,FB
90,2013-01-05,FB
91,2013-01-05,FB
92,2013-01-05,TW
93,2013-01-05,FB
94,2013-01-05,TW
95,2013-01-05,TW
96,2013-01-05,FB
97,2013-01-05,TW
98,2013-01-05,TW
99,2013-01-05,FB
100,2013-01-05,FB
101,2013-01-05,TW
102,2013-01-05,PI
103,2013-01-05,PI
104,2013-01-05,FB
105,2013-01-05,FB
106,2013-01-05,FB
107,2013-01-05,RE
108,2013-01-05,RE
109,2013-01-06,TW
110,2013-01-06,RE
111,2013-01-06,TW
112,2013-01-06,PI
113,2013-01-06,RE
114,2013-01-06,FB
115,2013-01-06,FB
116,2013-01-06,FB
117,2013-01-06,TW
118,2013-01-06,FB
119,2013-01-06,FB
