userid1,userid2
996,99
758,762
505,993
442,396
977,398
152,568
442,413
337,284
901,431
538,710
227,99
115,818
983,809
520,249
953,539
230,933
573,257
694,279
690,759
618,82
280,438
759,892
892,592
682,630
71,0
10,80
305,417
998,120
726,49
376,574
703,774
771,358
145,371
327,595
283,725
905,421
276,911
486,44
663,979
130,380
131,305
393,602
846,211
399,512
692,166
345,933
687,538
100,237
604,146
318,768
856,621
618,72
988,987
335,168
483,626
69,302
102,464
954,666
63,345
802,341
418,573
719,588
163,53
256,155
407,295
825,96
622,713
339,604
204,262
355,953
403,17
793,420
2,680
425,503
823,257
568,111
539,618
841,830
642,454
79,618
585,961
312,191
449,987
184,643
33,93
369,918
654,573
6,904
494,331
122,572
780,618
862,882
151,607
270,376
772,47
91,588
979,688
948,993
355,887
63,779
369,128
599,662
819,418
113,187
466,764
780,738
532,368
11,748
643,556
73,738
983,639
847,642
144,272
975,421
890,58
620,692
826,947
329,674
456,511
62,565
33,955
681,402
955,398
24,836
330,859
51,672
276,528
246,370
848,78
85,290
619,418
229,42
854,790
375,264
824,640
838,156
810,553
927,931
239,849
518,236
965,818
451,398
110,257
553,212
377,484
720,296
939,606
498,574
792,596
955,38
755,534
279,153
499,439
960,858
99,825
827,785
36,574
899,858
922,579
299,99
197,585
323,100
4,898
577,536
414,22
869,247
276,288
524,111
793,24
313,746
356,61
506,987
439,662
577,444
340,193
196,107
975,128
325,785
145,705
927,590
568,610
572,349
575,906
855,663
393,401
47,410
930,590
155,990
724,485
954,724
950,598
428,364
89,195
882,602
339,988
978,812
898,335
866,473
66,851
894,728
780,923
310,223
353,145
22,260
677,909
830,61
592,360
853,212
543,841
199,994
236,917
368,781
816,459
465,392
614,205
54,91
593,718
935,900
809,27
967,730
367,476
799,256
413,264
787,495
954,187
0,458
965,725
436,389
631,395
678,993
644,484
529,843
709,107
400,344
29,605
555,115
494,897
722,136
423,939
492,380
943,932
568,152
908,96
355,409
611,712
408,921
882,203
9,142
376,984
939,905
796,503
742,714
800,558
599,983
782,934
498,118
908,103
60,961
407,927
203,637
351,412
163,256
377,720
830,519
116,148
620,724
611,988
847,821
628,436
167,621
564,875
853,947
19,333
280,409
388,574
965,25
753,899
71,202
164,209
801,270
370,131
495,787
498,143
583,550
205,353
732,308
513,93
840,148
491,473
539,83
901,616
833,312
445,654
691,13
212,279
927,481
888,717
265,28
264,813
926,88
212,393
506,693
423,96
970,744
724,960
969,310
605,145
736,795
309,558
270,563
681,78
113,291
34,319
325,945
63,729
817,114
500,474
543,376
413,748
149,44
791,455
111,793
948,188
947,482
889,335
721,786
507,511
743,107
171,132
201,982
840,541
198,338
120,388
684,487
910,377
47,941
935,464
375,765
677,820
171,637
408,217
740,939
930,116
940,50
640,314
165,175
758,297
860,315
185,399
498,156
443,677
477,922
13,137
5,980
840,911
396,876
933,536
208,737
593,558
619,448
307,146
612,793
16,631
283,341
652,332
4,787
208,916
557,965
833,132
556,409
419,162
244,617
417,305
339,428
84,871
814,668
598,945
402,199
250,670
506,416
608,888
677,375
488,715
185,343
284,863
473,173
376,885
508,696
278,747
882,796
85,878
80,343
355,327
198,368
875,383
724,716
889,408
461,889
989,497
641,886
407,807
235,584
186,244
583,70
428,533
755,103
950,230
389,491
969,470
57,356
29,745
230,62
434,723
930,925
985,771
168,637
403,682
501,286
955,127
460,283
261,76
670,763
340,715
493,800
811,889
780,472
530,246
406,600
662,289
731,931
920,227
288,454
537,450
723,766
111,263
863,614
804,410
544,478
757,26
362,473
758,911
971,991
73,636
707,154
609,436
605,13
542,662
216,441
513,695
198,716
541,673
788,90
246,676
370,631
766,450
62,340
693,232
345,888
640,954
345,240
722,357
499,941
883,79
2,397
2,451
309,121
76,288
557,292
669,818
622,228
120,852
317,921
425,96
562,623
573,926
994,539
15,582
832,175
566,787
650,124
212,182
987,325
788,885
456,655
874,695
224,52
748,692
719,102
136,854
871,775
675,705
39,560
814,567
918,26
157,659
525,534
471,364
332,103
960,235
349,536
613,6
123,51
39,197
994,228
301,548
736,826
134,324
143,852
779,999
617,583
