countrycode,language,isofficial,percentage
AFG,Pashto,TRUE,52.400002
NLD,Dutch,TRUE,95.599998
ANT,Papiamento,TRUE,86.199997
ALB,Albaniana,TRUE,97.900002
DZA,Arabic,TRUE,86
ASM,Samoan,TRUE,90.599998
AND,Spanish,FALSE,44.599998
AGO,Ovimbundu,FALSE,37.200001
AIA,English,TRUE,0
ATG,Creole English,FALSE,95.699997
ARE,Arabic,TRUE,42
ARG,Spanish,TRUE,96.800003
ARM,Armenian,TRUE,93.400002
ABW,Papiamento,FALSE,76.699997
AUS,English,TRUE,81.199997
AZE,Azerbaijani,TRUE,89
BHS,Creole English,FALSE,89.699997
BHR,Arabic,TRUE,67.699997
BGD,Bengali,TRUE,97.699997
BRB,Bajan,FALSE,95.099998
BEL,Dutch,TRUE,59.200001
BLZ,English,TRUE,50.799999
BEN,Fon,FALSE,39.799999
BMU,English,TRUE,100
BTN,Dzongkha,TRUE,50
BOL,Spanish,TRUE,87.699997
BIH,Serbo-Croatian,TRUE,99.199997
BWA,Tswana,FALSE,75.5
BRA,Portuguese,TRUE,97.5
GBR,English,TRUE,97.300003
VGB,English,TRUE,0
BRN,Malay,TRUE,45.5
BGR,Bulgariana,TRUE,83.199997
BFA,Mossi,FALSE,50.200001
BDI,Kirundi,TRUE,98.099998
CYM,English,TRUE,0
CHL,Spanish,TRUE,89.699997
COK,Maori,TRUE,0
CRI,Spanish,TRUE,97.5
DJI,Somali,FALSE,43.900002
DMA,Creole English,FALSE,100
DOM,Spanish,TRUE,98
ECU,Spanish,TRUE,93
EGY,Arabic,TRUE,98.800003
SLV,Spanish,TRUE,100
ERI,Tigrinja,TRUE,49.099998
ESP,Spanish,TRUE,74.400002
ZAF,Zulu,TRUE,22.700001
ETH,Oromo,FALSE,31
FLK,English,TRUE,0
FJI,Fijian,TRUE,50.799999
PHL,Pilipino,TRUE,29.299999
FRO,Faroese,TRUE,100
GAB,Fang,FALSE,35.799999
GMB,Malinke,FALSE,34.099998
GEO,Georgiana,TRUE,71.699997
GHA,Akan,FALSE,52.400002
GIB,English,TRUE,88.900002
GRD,Creole English,FALSE,100
GRL,Greenlandic,TRUE,87.5
GLP,Creole French,FALSE,95
GUM,English,TRUE,37.5
GTM,Spanish,TRUE,64.699997
GIN,Ful,FALSE,38.599998
GNB,Crioulo,FALSE,36.400002
GUY,Creole English,FALSE,96.400002
HTI,Haiti Creole,FALSE,100
HND,Spanish,TRUE,97.199997
HKG,Canton Chinese,FALSE,88.699997
SJM,Norwegian,TRUE,0
IDN,Javanese,FALSE,39.400002
IND,Hindi,TRUE,39.900002
IRQ,Arabic,TRUE,77.199997
IRN,Persian,TRUE,45.700001
IRL,English,TRUE,98.400002
ISL,Icelandic,TRUE,95.699997
ISR,Hebrew,TRUE,63.099998
ITA,Italian,TRUE,94.099998
TMP,Sunda,FALSE,0
AUT,German,TRUE,92
JAM,Creole English,FALSE,94.199997
JPN,Japanese,TRUE,99.099998
YEM,Arabic,TRUE,99.599998
JOR,Arabic,TRUE,97.900002
CXR,Chinese,FALSE,0
YUG,Serbo-Croatian,TRUE,75.199997
KHM,Khmer,TRUE,88.599998
CMR,Fang,FALSE,19.700001
CAN,English,TRUE,60.400002
CPV,Crioulo,FALSE,100
KAZ,Kazakh,TRUE,46
KEN,Kikuyu,FALSE,20.9
CAF,Gbaya,FALSE,23.799999
CHN,Chinese,TRUE,92
KGZ,Kirgiz,TRUE,59.700001
KIR,Kiribati,TRUE,98.900002
COL,Spanish,TRUE,99
COM,Comorian,TRUE,75
COG,Kongo,FALSE,51.5
COD,Luba,FALSE,18
CCK,Malay,FALSE,0
PRK,Korean,TRUE,99.900002
KOR,Korean,TRUE,99.900002
GRC,Greek,TRUE,98.5
HRV,Serbo-Croatian,TRUE,95.900002
CUB,Spanish,TRUE,100
KWT,Arabic,TRUE,78.099998
CYP,Greek,TRUE,74.099998
LAO,Lao,TRUE,67.199997
LVA,Latvian,TRUE,55.099998
LSO,Sotho,TRUE,85
LBN,Arabic,TRUE,93
LBR,Kpelle,FALSE,19.5
LBY,Arabic,TRUE,96
LIE,German,TRUE,89
LTU,Lithuanian,TRUE,81.599998
LUX,Luxembourgish,TRUE,64.400002
ESH,Arabic,TRUE,100
MAC,Canton Chinese,FALSE,85.599998
MDG,Malagasy,TRUE,98.900002
